,Clean_tweet,label
7267,"why do refer to everyone else as racist. simple, they're projecting their intolerance.",1
6058,like to know why you can't buy pot at the local drug store? marijuana unleashed at ibooks. a|,1
27900,you might be a libtard if...,1
10187,.@user my gf used uber without forcing language preferences so you are reading my data and making choices,1
30425,"not all muslims are islamic extremists (very, very few are).",1
14817,is still rooted in our society's attitude towards black women's hair. read more from candide uyanze:a|,1
30932,is not a problem in america today. is. dumb is an equal oppounity killer of dreams.,1
13102,"i'm guessing a shiless man doesn't objectify himself by being shiless, but a shiless woman is?",1
12149,more evil jew why is it jew controlled media has never and never will cite any non white groua|,1
24245,jokes about women penis humping girl,1
9364,"""kevin didnat understand what head done, but he knew head fucked up."" by",1
22094,"this obviously gets on &amp; maybe two seconds after boarding - thinks he ""knows"" whata|",1
21934,can't effo a logic point w/out or especially if that's wha|,1
14813,american taxpayers have also lost their homes by the millions a| a|,1
14,no comment! in,1
19203,spos illustrated girls naked sex videos,1
13278,great aicle of truth about needs. comments back up why it's needed. - via,1
13788,"so, what are you saying, blacks = criminals?",1
18651,"presenter to asian woman in edinburgh: ""what brings you here?"" asian woman: ""i live here.""",1
13624,... how would you promote ... hitting on women ... condoning assault ... &amp; ... anda|,1
30242,i'm always amazed at the number of excellent black athletes that want to play at racist schools in racist states.,1
29189,"i have the ssn,address,home network info and billing info but you still have to speak to my husband.",1
1446,"do we need a different word altogether that defines ""/hatred against whites and/or men"", just to satisfy hateful ppl like her?",1
831,does his incredibly obama impression. via,1
15470,are you &amp; feel like the are a| on you? listen,1
5053,you can go ahead &amp; change your profile pic. hepburn was an ambassador to unicef &amp; your ignorance would havea|,1
30290,why do we have listen to a woman who goes to church but kills thousands.,1
8070,"anyone who thinks asian fetishes are ""harmless"" needs to read this.",1
3787,"""for too many years any criticism of or its effects on society have been shut down bya|",1
2475,"if you are a non-racist white, other minority don't serve in military while in power",1
11288,surprise! adam saleh is a ! (@user ),1
22557,vandalised in in condemns act,1
27520,are you &amp; feel like the are stomping on you? listen,1
26976,"hard to think how is still very much prevalent in so many societies. if you're not white, rest assured disca|",1
23305,smooth new year's eve! marijuana unleashed at ibooks.,1
232,"if you hold open a door for a woman because she's a woman and not because it's a nice thing to do, that's . don't even try to deny it",1
23718,you might be a libtard if...,1
27111,this definitive history of racist ideas should be required reading,1
18555,ohhhh. so people really do think that because you are in an relationship &amp;/or have you opt out of ?d(r),1
15206,the term jihad is a highly-contested concept. a|,1
12365,why are white people when the rest of us are,1
22937,"universityofwisconsinmadison offering course. if they're gonna be blatantly , why not? orgasmic.",1
14893,"""vandals turned a jewish family's menorah into a swastika""",1
31789,is one of a rare breed of that should be shot in the street and left pissing blood in the gutter.,1
28295,why build walls when there are already so many other obstacles to overcome? a|a|,1
19165,no joke! i'm tired of acting like i'm by them leaving. also they're too to move to,1
19651,oh my god triggered,1
31531,"thanks to racists + fascist it's now 280,- + sucks! a$?d",1
28159,is more towards whites than and combined.,1
8943,are you &amp; feel like the a| stomping on you? listen,1
11422,im so with and their &amp;,1
30635,will not be kind to those who enable the and of and his emba|,1
22067,racism in america: 'kill obama' and 'muslims not welcome here' signs in new mexico draw criticism -a|a|,1
15404,thought factory: bbc neutrality on right wing fascism +4,1
11193,someone should feed you grenades you stupid fuck shit,1
23783,word factory: race denial prevents healing! &gt;2,1
933,is not an racism is people based on race to justify or open against them.,1
21767,"lee atwater was caught n tape explains the ""southern strategy"" he was in reagan's cabinet",1
4877,"if you are one of the 64.2 mil who rejected , &amp; fly your flag half mast on jan.a|",1
29681,not all westerners are islamophobes.,1
6794,"no liberal believes that. we are the pay of inclusivity who believes in equality for all, anywhere. you are traina|",1
18176,"""culture wars"" by other means",1
